id,title,price,region,city,rooms,area_m2,floor,total_floors,year
1004992803,1-комнатная квартира · 23 м² · 4/5 этаж,14 000 000〒,"Бостандыкский р-н, Жандосова 82 — Розыбакиева",Алматы,1,23.0,4.0,5.0,1983.0
1011163931,2-комнатная квартира · 43 м² · 5/5 этаж,10 500 000〒,12 микрорайон 20 дом,Караганда,2,43.0,5.0,5.0,1965.0
1011263510,1-комнатная квартира · 38.3 м² · 14/18 этаж,24 300 000〒,"Алматы р-н, Тауелсиздик 34/2",Астана,1,38.3,14.0,18.0,2022.0
1011263160,1-комнатная квартира · 34.5 м² · 2/3 этаж,21 000 000〒,Жангозина 61Б,Каскелен,1,34.5,2.0,3.0,2024.0
697393109,2-комнатная квартира · 43 м² · 2/5 этаж,9 000 000〒,3 микрорайон 35 — Находится возле школы Сатыбалдиев,Кульсары,2,43.0,2.0,5.0,1996.0
1010053663,2-комнатная квартира · 44 м² · 5/5 этаж,26 000 000〒,Титова 49 — Витковская,Отеген батыр,2,44.0,5.0,5.0,1989.0
695469049,3-комнатная квартира · 96.5 м² · 15/17 этаж,38 000 000〒,"р-н Байконур, Богенбай батыра 56 — Пересечение пр.Республики и пр.Богенбая",Астана,3,96.5,15.0,17.0,2014.0
1003187883,1-комнатная квартира · 36.8 м² · 5/5 этаж,8 000 000〒,койбакова 2,Тараз,1,36.8,5.0,5.0,1997.0
1002662511,3-комнатная квартира · 64.1 м² · 5/5 этаж,49 000 000〒,"Алмалинский р-н, Гоголя — Наурызбай батыра",Алматы,3,64.1,5.0,5.0,1968.0
693159942,3-комнатная квартира · 70 м² · 4/5 этаж,26 000 000〒,6-й мкр 35,Актау,3,70.0,4.0,5.0,1978.0
1011681377,2-комнатная квартира · 51 м² · 3/5 этаж,22 000 000〒,"р-н Байконур, Сембинова",Астана,2,51.0,3.0,5.0,1992.0
1011681374,2-комнатная квартира · 66.9 м² · 1/11 этаж,33 000 000〒,Победы 70А,Костанай,2,66.9,1.0,11.0,2025.0
1010376540,1-комнатная квартира · 43 м² · 7/9 этаж,19 000 000〒,Шокана Уалиханова 206,Кокшетау,1,43.0,7.0,9.0,2025.0
1011681341,2-комнатная квартира · 65.3 м² · 4/5 этаж,32 000 000〒,мкр. Алтын орда,Актобе,2,65.3,4.0,5.0,2022.0
1011681362,3-комнатная квартира · 95 м² · 3/10 этаж,47 000 000〒,Сулейменова 27,Кокшетау,3,95.0,3.0,10.0,2021.0
1011681370,3-комнатная квартира · 65.9 м² · 7/9 этаж,12 800 000〒,пр. Мира,Темиртау,3,65.9,7.0,9.0,1985.0
1011681044,2-комнатная квартира · 48 м² · 3/5 этаж,20 000 000〒,ул. Курманбека Сагындыкова 6,Тараз,2,48.0,3.0,5.0,1983.0
1011675287,1-комнатная квартира · 44 м² · 8/9 этаж,20 400 000〒,"Казыбек би р-н, мкр Юго-Восток, Шахтеров",Караганда,1,44.0,8.0,9.0,2016.0
1001136423,2-комнатная квартира · 56 м² · 16/16 этаж,70 000 000〒,"Есильский р-н, Сыганак 52/1 — Кабанбай батыра",Астана,2,56.0,16.0,16.0,2024.0
1009036658,2-комнатная квартира · 45 м² · 5/5 этаж,18 500 000〒,Абылай хана 48а,Каскелен,2,45.0,5.0,5.0,2021.0
1011681014,2-комнатная квартира · 44 м² · 2/5 этаж,6 800 000〒,Пр. Республики,Темиртау,2,44.0,2.0,5.0,1963.0
1011681009,3-комнатная квартира · 64 м² · 4/5 этаж,21 500 000〒,"Казыбек би р-н, ул. Металлистов 38",Караганда,3,64.0,4.0,5.0,1989.0
